Blastx evalue	Query ID	Protein Description	Count	Taxonomy	Tax ID	Rep ID	Target	Chromosome	UGA-SECIS	Free Energy
9e-44	lcl|UniRef50_Q50KB1	Protein disulfide-isomerase-like protein EhSep2	n=18	Tax=Eukaryota	TaxID=2759	RepID=SEP2_EMIHU	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_11 Strand: -	635	-24.6
9e-44	lcl|UniRef50_Q50KB1	Protein disulfide-isomerase-like protein EhSep2	n=18	Tax=Eukaryota	TaxID=2759	RepID=SEP2_EMIHU	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_77 Strand: +	635	-24.6
2e-20	lcl|UniRef50_A0A3M1SZ26	Peroxiredoxin	n=1	Tax=Planctomycetes	TaxID=2026780	RepID=A0A3M1SZ26_9BACT	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_4 Strand: +	541	-12.3
2e-20	lcl|UniRef50_A0A3M1SZ26	Peroxiredoxin	n=1	Tax=Planctomycetes	TaxID=2026780	RepID=A0A3M1SZ26_9BACT	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_39 Strand: +	541	-12.3
2e-20	lcl|UniRef50_A0A3M1SZ26	Peroxiredoxin	n=1	Tax=Planctomycetes	TaxID=2026780	RepID=A0A3M1SZ26_9BACT	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_72 Strand: +	541	-12.3
5e-54	lcl|UniRef50_A0A2N2KAM3	Arsenite S-adenosylmethyltransferase	n=8	Tax=Deltaproteobacteria	TaxID=28221	RepID=A0A2N2KAM3_9DELT	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_4 Strand: +	544	-28.9
5e-54	lcl|UniRef50_A0A2N2KAM3	Arsenite S-adenosylmethyltransferase	n=8	Tax=Deltaproteobacteria	TaxID=28221	RepID=A0A2N2KAM3_9DELT	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_23 Strand: +	544	-28.9
6e-16	lcl|UniRef50_F0YJ25	Selenoprotein	n=1	Tax=Aureococcus	TaxID=44056	RepID=F0YJ25_AURAN	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_5 Strand: -	304	-17.8
6e-16	lcl|UniRef50_F0YJ25	Selenoprotein	n=1	Tax=Aureococcus	TaxID=44056	RepID=F0YJ25_AURAN	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_91 Strand: -	304	-17.8
1e-22	lcl|UniRef50_H2B641	Glutathione peroxidase	n=8	Tax=Protostomia	TaxID=33317	RepID=H2B641_9MAXI	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_15 Strand: -	461	-13.7
6e-06	lcl|UniRef50_A0A523NZD0	AhpC/TSA family protein	n=4	Tax=Bacteria	TaxID=2	RepID=A0A523NZD0_9PROT	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_53 Strand: -	553	-24.4
9e-64	lcl|UniRef50_A0A6P4ZHE4	Glutathione peroxidase	n=11	Tax=Eumetazoa	TaxID=6072	RepID=A0A6P4ZHE4_BRABE	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_34 Strand: +	583	-16.4
9e-64	lcl|UniRef50_A0A6P4ZHE4	Glutathione peroxidase	n=11	Tax=Eumetazoa	TaxID=6072	RepID=A0A6P4ZHE4_BRABE	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_38 Strand: +	583	-16.4
5e-05	lcl|UniRef50_A0A523NZD0	AhpC/TSA family protein	n=4	Tax=Bacteria	TaxID=2	RepID=A0A523NZD0_9PROT	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_50 Strand: -	565	-23.0
0.0	lcl|UniRef50_B9A1H3	Thioredoxin reductase SEP1	n=33	Tax=Eukaryota	TaxID=2759	RepID=TRXR1_EMIHU	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_15 Strand: +	355	-35.7
0.0	lcl|UniRef50_B9A1H3	Thioredoxin reductase SEP1	n=33	Tax=Eukaryota	TaxID=2759	RepID=TRXR1_EMIHU	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_24 Strand: -	355	-35.7
5e-81	lcl|UniRef50_Q50KB1	Protein disulfide-isomerase-like protein EhSep2	n=18	Tax=Eukaryota	TaxID=2759	RepID=SEP2_EMIHU	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_11 Strand: -	672	-31.0
5e-81	lcl|UniRef50_Q50KB1	Protein disulfide-isomerase-like protein EhSep2	n=18	Tax=Eukaryota	TaxID=2759	RepID=SEP2_EMIHU	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_67 Strand: -	672	-31.0
5e-81	lcl|UniRef50_Q50KB1	Protein disulfide-isomerase-like protein EhSep2	n=18	Tax=Eukaryota	TaxID=2759	RepID=SEP2_EMIHU	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_74 Strand: -	672	-31.0
5e-81	lcl|UniRef50_Q50KB1	Protein disulfide-isomerase-like protein EhSep2	n=18	Tax=Eukaryota	TaxID=2759	RepID=SEP2_EMIHU	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_139 Strand: +	672	-31.0
2e-27	lcl|UniRef50_A0A1J0KJL1	Glutathione peroxidase (Fragment)	n=1	Tax=Symbiodinium	TaxID=329482	RepID=A0A1J0KJL1_9DINO	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_91 Strand: -	676	-20.1
2e-27	lcl|UniRef50_A0A1J0KJL1	Glutathione peroxidase (Fragment)	n=1	Tax=Symbiodinium	TaxID=329482	RepID=A0A1J0KJL1_9DINO	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_5 Strand: -	683	-25.2
6e-24	lcl|UniRef50_A0A6P9C2N6	Glutathione peroxidase	n=13	Tax=Bilateria	TaxID=33213	RepID=A0A6P9C2N6_PANGU	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_34 Strand: +	550	-21.5
6e-24	lcl|UniRef50_A0A6P9C2N6	Glutathione peroxidase	n=13	Tax=Bilateria	TaxID=33213	RepID=A0A6P9C2N6_PANGU	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_38 Strand: +	550	-21.5
1e-04	lcl|UniRef50_A0A523NZD0	AhpC/TSA family protein	n=4	Tax=Bacteria	TaxID=2	RepID=A0A523NZD0_9PROT	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_1 Strand: -	380	-26.2
1e-04	lcl|UniRef50_A0A523NZD0	AhpC/TSA family protein	n=4	Tax=Bacteria	TaxID=2	RepID=A0A523NZD0_9PROT	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_60 Strand: -	380	-26.2
1e-04	lcl|UniRef50_A0A523NZD0	AhpC/TSA family protein	n=4	Tax=Bacteria	TaxID=2	RepID=A0A523NZD0_9PROT	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_61 Strand: -	380	-26.2
2e-23	lcl|UniRef50_A0A6J0UIJ4	Peroxiredoxin-like 2 activated in M-CSF stimulated monocytes	n=13	Tax=Euteleostomi	TaxID=117571	RepID=A0A6J0UIJ4_9SAUR	Chrysochromulina_simplex_var_UIO136.mainGenome.fasta	scaffold_28 Strand: +	544	-22.2
